id_course,id_chauffeur,id_client,date_heure_demande,jour_semaine,heure,est_weekend,est_pointe,depart,arrivee,distance_km,tarif_estime,multiplicateur_tarif,moyen_paiement,statut_course,nb_courses_client_mois,derniere_course_il_y_a_jours,segment_client,nb_courses_chauffeur_mois,note_chauffeur,segment_chauffeur,incitation,points_gagnes,points_utilises_reduction,cout_incitation,recette_course,revenu_net,revenu_moyen_segment,hausse_revenu_positive
C00001,CH0058,CL0403,2025-02-03 23:00:00,lun,23,0,0,Zopah,Menontin,2.04,574.0,1.1,portefeuille,terminee,12,38,inactif,518,4.8,performant,prime_objectif,0,0,300.0,659.6,359.6,800.0,0
C00002,CH0013,CL0632,2025-03-27 19:32:00,jeu,19,0,1,Zopah,Akpakpa,2.12,520.0,1.3,carte,terminee,23,32,inactif,260,4.47,intermediaire,points_gowin,33,17,17.0,676.32,659.32,800.0,0
C00003,CH0141,CL0758,2025-03-08 03:06:00,sam,3,1,0,Gbodjè,Haie Vive,6.79,1588.0,1.0,portefeuille,terminee,21,3,nouveau_client,233,4.66,intermediaire,remise_bienvenue,0,0,317.6,1701.94,1384.3400000000001,1200.0,1
C00004,CH0126,CL0307,2025-02-24 03:06:00,lun,3,0,0,Haie Vive,Haie Vive,2.16,527.0,1.0,portefeuille,terminee,17,27,nouveau_client,255,3.97,intermediaire,aucune,0,0,0.0,560.27,560.27,1200.0,0
C00005,CH0115,CL0608,2025-01-15 07:00:00,mer,7,0,1,Agla,Haie Vive,3.78,1112.0,1.3,cash,terminee,20,25,nouveau_client,246,4.68,intermediaire,points_gowin,72,34,34.0,1566.85,1532.85,1200.0,1
C00006,CH0072,CL0345,2025-01-15 06:56:00,mer,6,0,0,Fidjrossè,Jéricho,2.25,604.0,1.0,cash,terminee,39,3,regulier,495,4.95,performant,prime_objectif,0,0,300.0,604.94,304.94000000000005,2000.0,0
C00007,CH0053,CL0520,2025-01-06 11:27:00,lun,11,0,0,Haie Vive,Sainte-Rita,0.67,178.0,1.0,carte,terminee,4,15,nouveau_client,251,4.54,intermediaire,aucune,0,0,0.0,174.03,174.03,1200.0,0
C00008,CH0280,CL0522,2025-03-20 04:56:00,jeu,4,0,0,Gbodjè,Cadjehoun,6.68,1802.0,1.1,carte,terminee,17,36,inactif,242,4.66,intermediaire,remise_bienvenue,0,0,396.44,1889.57,1493.1299999999999,800.0,1
C00009,CH0045,CL0546,2025-02-24 08:24:00,lun,8,0,1,Cadjehoun,Cadjehoun,4.01,1012.0,1.5,cash,terminee,17,21,nouveau_client,232,4.43,intermediaire,remise_bienvenue,0,0,303.6,1500.28,1196.6799999999998,1200.0,0
C00010,CH0217,CL0502,2025-03-05 23:26:00,mer,23,0,0,Cadjehoun,Akpakpa,5.35,1528.0,1.0,carte,annulee,27,35,inactif,241,4.61,intermediaire,aucune,0,0,0.0,0.0,0.0,800.0,0
C00011,CH0017,CL0726,2025-01-03 02:27:00,ven,2,0,0,Akpakpa,Sainte-Rita,1.21,320.0,1.0,cash,terminee,47,37,regulier,239,4.98,intermediaire,aucune,0,0,0.0,321.62,321.62,2000.0,0
C00012,CH0016,CL0577,2025-03-29 13:00:00,sam,13,1,0,Jéricho,Haie Vive,2.65,619.0,1.0,carte,terminee,15,57,inactif,228,5.0,intermediaire,remise_bienvenue,0,0,123.8,675.89,552.09,800.0,0
C00013,CH0048,CL0307,2025-03-17 04:04:00,lun,4,0,0,Gbodjè,Haie Vive,6.33,1486.0,1.0,portefeuille,terminee,4,54,inactif,247,4.6,intermediaire,aucune,0,0,0.0,1521.23,1521.23,800.0,1
C00014,CH0112,CL0487,2025-01-20 08:39:00,lun,8,0,1,Akpakpa,Fidjrossè,1.53,406.0,1.2,carte,terminee,17,34,inactif,261,4.19,intermediaire,aucune,0,0,0.0,503.5,503.5,800.0,0
C00015,CH0120,CL0018,2025-01-17 14:44:00,ven,14,0,0,Menontin,Calavi Kpota,5.19,1532.0,1.0,cash,terminee,18,24,nouveau_client,506,4.69,performant,aucune,0,0,0.0,1657.65,1657.65,1200.0,1
C00016,CH0259,CL0378,2025-01-17 18:09:00,ven,18,0,1,Akpakpa,Menontin,3.74,928.0,1.5,carte,terminee,21,7,nouveau_client,406,4.13,performant,remise_bienvenue,0,0,278.4,1507.2,1228.8000000000002,1200.0,0
C00017,CH0014,CL0340,2025-01-28 15:09:00,mar,15,0,0,Jéricho,Haie Vive,2.27,659.0,1.0,portefeuille,terminee,4,16,nouveau_client,97,4.31,faible_activite,points_gowin,32,0,0.0,678.23,678.23,1200.0,0
C00018,CH0288,CL0690,2025-02-17 11:28:00,lun,11,0,0,Akpakpa,Calavi Tokpa,2.15,607.0,1.1,portefeuille,terminee,11,17,nouveau_client,269,4.35,intermediaire,aucune,0,0,0.0,645.7,645.7,1200.0,0
C00019,CH0102,CL0113,2025-02-09 03:00:00,dim,3,1,0,Agla,Akpakpa,1.84,448.0,1.1,portefeuille,terminee,23,49,inactif,242,5.0,intermediaire,points_gowin,24,12,12.0,488.16,476.16,800.0,0
C00020,CH0280,CL0427,2025-01-27 11:03:00,lun,11,0,0,Sainte-Rita,Fidjrossè,4.0,911.0,1.0,cash,terminee,23,57,inactif,252,4.93,intermediaire,aucune,0,0,0.0,927.88,927.88,800.0,1
C00021,CH0215,CL0598,2025-02-25 07:36:00,mar,7,0,1,Akpakpa,Zopah,4.31,1003.0,1.2,carte,terminee,19,56,inactif,262,4.87,intermediaire,aucune,0,0,0.0,1279.04,1279.04,800.0,1
C00022,CH0113,CL0316,2025-01-13 19:18:00,lun,19,0,1,Haie Vive,Zopah,2.97,831.0,1.5,cash,terminee,19,11,nouveau_client,123,4.75,faible_activite,aucune,0,0,0.0,1317.24,1317.24,1200.0,1
C00023,CH0230,CL0743,2025-01-27 13:01:00,lun,13,0,0,Jéricho,Gbodjè,1.76,422.0,1.1,cash,annulee,31,56,regulier,252,4.23,intermediaire,points_gowin,23,3,3.0,0.0,-3.0,2000.0,0
C00024,CH0143,CL0705,2025-02-03 05:20:00,lun,5,0,0,Calavi Kpota,Fidjrossè,5.09,1287.0,1.0,cash,terminee,15,56,inactif,100,4.57,faible_activite,aucune,0,0,0.0,1346.72,1346.72,800.0,1
C00025,CH0004,CL0645,2025-02-11 07:06:00,mar,7,0,1,Calavi Tokpa,Jéricho,6.75,1773.0,1.2,carte,terminee,19,32,inactif,132,5.0,faible_activite,aucune,0,0,0.0,2302.14,2302.14,800.0,1
C00026,CH0082,CL0028,2025-03-12 21:58:00,mer,21,0,0,Calavi Tokpa,Calavi Tokpa,5.7,1593.0,1.0,cash,terminee,17,22,nouveau_client,268,4.63,intermediaire,remise_bienvenue,0,0,318.6,1705.14,1386.54,1200.0,1
C00027,CH0217,CL0612,2025-01-19 05:17:00,dim,5,1,0,Zopah,Menontin,12.47,2912.0,1.1,carte,terminee,54,11,regulier,547,4.81,performant,prime_objectif,0,0,300.0,3514.93,3214.93,2000.0,1
C00028,CH0175,CL0486,2025-02-16 12:44:00,dim,12,1,0,Menontin,Menontin,3.38,864.0,1.0,portefeuille,terminee,23,10,nouveau_client,235,4.02,intermediaire,aucune,0,0,0.0,936.03,936.03,1200.0,0
C00029,CH0143,CL0272,2025-02-23 13:36:00,dim,13,1,0,Jéricho,Sainte-Rita,8.79,2298.0,1.0,carte,terminee,39,12,regulier,243,4.72,intermediaire,aucune,0,0,0.0,2250.54,2250.54,2000.0,1
C00030,CH0080,CL0672,2025-01-05 10:19:00,dim,10,1,0,Haie Vive,Menontin,2.43,645.0,1.1,carte,annulee,17,34,inactif,263,4.18,intermediaire,points_gowin,35,9,9.0,0.0,-9.0,800.0,0
C00031,CH0111,CL0795,2025-02-24 22:17:00,lun,22,0,0,Cadjehoun,Cadjehoun,2.17,621.0,1.0,cash,annulee,2,26,nouveau_client,264,4.43,intermediaire,points_gowin,31,18,18.0,0.0,-18.0,1200.0,0
C00032,CH0173,CL0593,2025-01-16 14:19:00,jeu,14,0,0,Fidjrossè,Cadjehoun,4.16,990.0,1.0,portefeuille,terminee,19,24,nouveau_client,253,4.93,intermediaire,points_gowin,49,33,33.0,949.06,916.06,1200.0,0
C00033,CH0053,CL0592,2025-01-07 02:30:00,mar,2,0,0,Cadjehoun,Calavi Tokpa,10.03,2864.0,1.0,carte,terminee,25,39,inactif,234,4.6,intermediaire,aucune,0,0,0.0,2898.87,2898.87,800.0,1
C00034,CH0048,CL0234,2025-03-27 15:35:00,jeu,15,0,0,Agla,Agla,3.14,870.0,1.1,carte,terminee,17,2,nouveau_client,79,4.74,faible_activite,aucune,0,0,0.0,997.79,997.79,1200.0,0
C00035,CH0195,CL0739,2025-03-29 03:45:00,sam,3,1,0,Fidjrossè,Agla,1.21,323.0,1.0,cash,terminee,12,48,inactif,432,4.44,performant,points_gowin,16,9,9.0,338.01,329.01,800.0,0
C00036,CH0050,CL0053,2025-03-15 00:08:00,sam,0,1,0,Haie Vive,Jéricho,6.67,1851.0,1.0,portefeuille,terminee,21,24,nouveau_client,261,3.92,intermediaire,aucune,0,0,0.0,1832.72,1832.72,1200.0,1
C00037,CH0184,CL0598,2025-01-28 15:57:00,mar,15,0,0,Haie Vive,Jéricho,3.64,931.0,1.0,cash,terminee,18,44,inactif,287,4.22,intermediaire,points_gowin,46,7,7.0,1004.53,997.53,800.0,1
C00038,CH0177,CL0492,2025-01-10 00:58:00,ven,0,0,0,Agla,Sainte-Rita,4.67,1099.0,1.0,cash,terminee,17,9,nouveau_client,256,4.7,intermediaire,aucune,0,0,0.0,1098.33,1098.33,1200.0,0
C00039,CH0136,CL0175,2025-03-03 19:56:00,lun,19,0,1,Menontin,Fidjrossè,2.24,616.0,1.2,cash,terminee,23,16,nouveau_client,249,4.6,intermediaire,remise_bienvenue,0,0,147.84,804.15,656.31,1200.0,0
C00040,CH0023,CL0537,2025-02-09 20:43:00,dim,20,1,0,Akpakpa,Sainte-Rita,4.13,1092.0,1.0,cash,terminee,23,2,nouveau_client,279,5.0,intermediaire,prime_objectif,0,0,300.0,1114.65,814.6500000000001,1200.0,0
C00041,CH0236,CL0645,2025-01-12 05:36:00,dim,5,1,0,Menontin,Jéricho,1.33,363.0,1.0,carte,terminee,19,44,inactif,241,4.54,intermediaire,aucune,0,0,0.0,345.42,345.42,800.0,0
C00042,CH0275,CL0739,2025-02-14 19:34:00,ven,19,0,1,Gbodjè,Menontin,11.39,2851.0,1.5,portefeuille,annulee,20,21,nouveau_client,276,4.23,intermediaire,aucune,0,0,0.0,0.0,0.0,1200.0,0
C00043,CH0064,CL0635,2025-01-04 08:16:00,sam,8,1,1,Haie Vive,Gbodjè,7.47,2189.0,1.5,portefeuille,terminee,22,37,inactif,258,4.49,intermediaire,prime_objectif,0,0,300.0,3199.13,2899.13,800.0,1
C00044,CH0194,CL0794,2025-03-24 02:07:00,lun,2,0,0,Sainte-Rita,Sainte-Rita,4.01,1079.0,1.0,cash,terminee,22,13,nouveau_client,61,4.8,faible_activite,prime_objectif,0,0,300.0,1041.61,741.6099999999999,1200.0,0
C00045,CH0041,CL0390,2025-01-24 12:57:00,ven,12,0,0,Haie Vive,Menontin,6.56,1518.0,1.0,cash,terminee,21,26,nouveau_client,402,3.97,performant,prime_objectif,0,0,300.0,1452.12,1152.12,1200.0,0
C00046,CH0283,CL0152,2025-03-01 21:02:00,sam,21,1,0,Agla,Calavi Kpota,2.43,629.0,1.0,carte,terminee,20,41,inactif,226,4.6,intermediaire,points_gowin,31,19,19.0,664.92,645.92,800.0,0
C00047,CH0151,CL0698,2025-01-29 07:17:00,mer,7,0,1,Calavi Kpota,Calavi Kpota,7.26,2045.0,1.5,cash,terminee,23,19,nouveau_client,251,4.12,intermediaire,points_gowin,153,104,104.0,3002.61,2898.61,1200.0,1
C00048,CH0186,CL0249,2025-02-17 01:20:00,lun,1,0,0,Calavi Kpota,Jéricho,3.04,865.0,1.0,cash,terminee,15,47,inactif,581,4.55,performant,prime_objectif,0,0,300.0,930.56,630.56,800.0,0
C00049,CH0296,CL0033,2025-02-19 10:53:00,mer,10,0,0,Jéricho,Calavi Tokpa,2.9,760.0,1.0,carte,terminee,29,17,nouveau_client,254,4.72,intermediaire,remise_bienvenue,0,0,152.0,752.15,600.15,1200.0,0
C00050,CH0099,CL0587,2025-01-17 21:17:00,ven,21,0,0,Gbodjè,Gbodjè,1.93,564.0,1.0,portefeuille,annulee,20,12,nouveau_client,239,4.67,intermediaire,aucune,0,0,0.0,0.0,0.0,1200.0,0
C00051,CH0036,CL0718,2025-03-29 12:18:00,sam,12,1,0,Cadjehoun,Calavi Tokpa,5.05,1238.0,1.0,portefeuille,terminee,24,41,inactif,234,4.9,intermediaire,aucune,0,0,0.0,1182.1,1182.1,800.0,1
C00052,CH0024,CL0113,2025-03-12 00:17:00,mer,0,0,0,Akpakpa,Calavi Kpota,3.9,998.0,1.0,cash,terminee,3,5,nouveau_client,587,4.58,performant,remise_bienvenue,0,0,199.6,1070.96,871.36,1200.0,0
C00053,CH0117,CL0196,2025-03-26 19:19:00,mer,19,0,1,Calavi Tokpa,Akpakpa,8.97,2623.0,1.2,portefeuille,terminee,19,9,nouveau_client,516,4.65,performant,aucune,0,0,0.0,3210.31,3210.31,1200.0,1
C00054,CH0149,CL0020,2025-03-22 18:49:00,sam,18,1,1,Menontin,Sainte-Rita,1.77,517.0,1.2,portefeuille,terminee,0,36,inactif,277,4.66,intermediaire,aucune,0,0,0.0,645.17,645.17,800.0,0
C00055,CH0041,CL0452,2025-02-24 01:27:00,lun,1,0,0,Calavi Kpota,Calavi Tokpa,5.07,1401.0,1.1,portefeuille,annulee,22,28,nouveau_client,267,4.21,intermediaire,points_gowin,77,30,30.0,0.0,-30.0,1200.0,0
C00056,CH0120,CL0322,2025-03-25 05:14:00,mar,5,0,0,Akpakpa,Calavi Tokpa,7.94,2298.0,1.0,carte,terminee,36,5,regulier,133,4.46,faible_activite,remise_bienvenue,0,0,459.6,2299.0,1839.4,2000.0,0
C00057,CH0052,CL0429,2025-01-09 05:08:00,jeu,5,0,0,Menontin,Sainte-Rita,4.36,1010.0,1.0,portefeuille,annulee,12,38,inactif,267,3.76,intermediaire,aucune,0,0,0.0,0.0,0.0,800.0,0
C00058,CH0195,CL0156,2025-01-18 21:19:00,sam,21,1,0,Cadjehoun,Fidjrossè,3.0,870.0,1.0,cash,terminee,23,10,nouveau_client,242,4.61,intermediaire,aucune,0,0,0.0,832.51,832.51,1200.0,0
